"","1_control","2_control","3_control","4_control","5_control","6_control","7_control","8_control","9_control","10_control","11_tumor","12_tumor","13_tumor","14_tumor","15_tumor","16_tumor","Ref"
"CD59",9.83052410918735,9.53613577170055,9.97190096297933,9.31124554092359,9.55690780815803,10.0193273198867,9.93529492805326,9.89543149489066,9.74741759391653,9.42831517634506,10.8502991034799,10.2346039997844,9.89756360959435,9.47416265710165,9.91299365770696,8.73373149183833,18.1727632476952
"CDH6",8.29996225148416,8.74661674861978,8.96059818607644,8.53750994408742,9.23025761035314,9.43100039295383,9.15016264091668,8.89024507510662,8.86153256144402,8.68567398771617,9.31948148130048,8.62014250278216,8.66865686170029,8.59606498017225,8.21952670176919,7.94692597104681,15.3402989187645
"CFH",20.702557439539,20.2991927451883,21.1081531357588,20.6484222952508,20.9697068745964,20.7994383456743,20.5997723620097,20.679161854035,20.5020264247701,20.6207767947227,20.8509353062128,20.3877870104151,20.6800253005609,20.2713534784074,20.2698776011103,20.2459927599388,16.9030624821328
"CLU",19.4054115583926,19.3754817944456,19.3327784265905,18.8782956284426,19.0724540786511,19.0962419976599,18.6903920786463,19.1663878881394,19.5460549176908,19.4781143455689,19.0985062761505,19.075551266488,19.6946285741549,19.2668791959483,19.728159796988,19.0284938497081,19.7543837197689
"DSC2",9.49805663669313,9.64570865647429,9.27974638895324,9.20469534498524,9.52391188297275,10.1677282825582,9.97794033923334,9.75457950448295,9.7409793351653,10.1551094147264,10.1670660581732,10.9412479055381,10.3663235478724,9.5438048799973,9.81716257893354,9.29534787544859,18.3954845114161
"ECM1",15.0425159024836,14.7972774384849,14.4871496777594,14.6949052792882,14.0885282611895,14.3572297817099,14.1855507722129,14.5127658276522,15.3271251937823,15.2332438021969,15.5579907157178,14.8004912838519,16.0165738893384,15.4830365433486,15.6814662292505,14.5437770077497,17.3373312830947
"FN1",15.0068996303314,14.6371273257925,14.7209502537109,16.1930943977441,15.4807279137005,14.8998620885383,14.090172276816,15.3508237489308,15.2496137814666,14.7851771116071,12.807031697626,13.5119242731887,13.6541120747862,14.9833449900366,15.0725593358743,15.209770132106,17.3620683321057
"FSTL1",10.0994322041554,10.3670041462198,10.1044823087581,9.855672412852,9.79540585782864,9.9312237689672,11.0007099766034,9.92254754962391,10.1026755657053,10.0112792465994,10.8822785945868,10.6659199146502,10.4120219885539,10.4524103564455,10.5922121215932,9.99550310361512,18.1349793807296
"L1CAM",7.69422751096409,7.68651790417475,8.43169502248164,8.50747265711608,7.72310948616629,8.21880490901872,7.14444420252565,8.2431095649433,8.32069434541359,8.38526003634873,6.98963823337791,7.01921208067504,7.90156944726728,7.87792470399359,7.91384645049402,7.64661241830249,17.4776447728266
"PRG4",12.2110252352181,11.6116973620481,11.7898312972984,13.0917909279052,12.4400755905071,12.1507693110182,11.2373480201652,12.5392614216849,12.1184682944112,12.5780882628554,13.6942598602573,11.5307112127961,12.0000359867097,11.6316784198452,12.2067330077707,10.4446155199872,13.761909646177
"PSAP",9.04643130091302,9.76314401172022,10.195353314298,9.64686870318477,9.88991675433667,9.62269794590341,9.66799566416851,9.5038070546165,9.34086373571991,9.64072778067565,9.1841692011232,8.37317895835098,7.64080102622322,8.54016689932924,8.40244131953014,8.92920890470205,15.9890697735436
"TF",16.2115882755261,16.0766714110215,16.0211844165295,16.5536389917888,16.8487249276949,16.6357357101697,17.1983062394742,16.6988043178966,16.3096820323716,16.6674954167215,15.1259381377858,16.1400428007322,17.0564815622185,16.704146096193,15.6316011486348,16.2458546622453,15.7817970807963
"THBS1",11.449377781667,12.2515413215162,12.2891906244269,12.2123540171018,10.4020468625053,10.5111462887235,14.8508271077732,11.2380764386624,11.8477093663076,10.9202865261928,13.8249251499545,10.2510281945506,11.4562919299557,10.2396098521388,12.6420506762663,11.4884908355726,21.3595390707366
"VTN",16.0613587984972,15.2078584851006,15.1493478352177,15.7415696537256,14.7924922173925,15.193425029771,15.2194199943938,15.4411823882311,14.3834282734995,15.707937991533,15.9195053350333,15.7796921521267,15.2447598211835,14.9585476654447,15.7008428394399,14.7741120704933,15.9712403499209
