"","control","tumor"
"CD59",9.73498103129765,9.89005646098109
"CDH6",8.8369920649568,8.56289559071396
"CFH",20.6929208271545,20.4509952427742
"CLU",19.2041612714228,19.315369826573
"DSC2",9.69484557862448,10.0218254743272
"ECM1",14.672629193676,15.3472226115428
"FN1",15.0414448528638,14.2064570839363
"FSTL1",10.1190433037313,10.4811914075492
"L1CAM",8.01194134527118,7.55813388901839
"PRG4",12.1768355723112,11.9180056678944
"PSAP",9.5784079801694,8.51166105154314
"TF",16.5221831739194,16.1506774013016
"THBS1",11.7972556334877,11.6503994397397
"VTN",15.2898020667362,15.3962433139536
